CustomerID,Age,Gender,City,PreferredChannel,RecencyDays,PurchaseFrequency,MonetaryValue,TrueSegment
CUST100001,49,Male,Mumbai,Online,140,6,1671.2,At Risk
CUST100002,37,Female,Pune,Mobile App,81,6,2487.02,Potential Loyalists
CUST100003,28,Female,Noida,Online,278,4,1415.94,Lost
CUST100004,35,Other,Delhi,Online,100,9,1681.72,At Risk
CUST100005,40,Male,Mumbai,Store,21,27,10190.05,Champions
CUST100006,24,Male,Kolkata,Online,279,3,208.13,Lost
CUST100007,18,Male,Mumbai,Online,155,9,1262.89,At Risk
CUST100008,35,Female,Mumbai,Online,161,7,1545.05,At Risk
CUST100009,18,Female,Bengaluru,Store,29,22,3278.24,Champions
CUST100010,19,Male,Chennai,Online,110,6,634.4,Potential Loyalists
CUST100011,31,Female,Pune,Store,47,14,1944.54,Loyal
CUST100012,37,Male,Delhi,Online,287,2,1141.53,Lost
CUST100013,22,Male,Hyderabad,Store,139,5,1184.31,At Risk
CUST100014,42,Male,Noida,Online,317,4,797.49,Lost
CUST100015,41,Other,Mumbai,Online,85,3,2985.48,Potential Loyalists
CUST100016,44,Male,Noida,Online,41,14,3660.85,Loyal
CUST100017,24,Female,Pune,Online,21,5,1001.6,Potential Loyalists
CUST100018,29,Other,Noida,Mobile App,16,24,4560.31,Champions
CUST100019,24,Male,Hyderabad,Online,304,4,1467.85,Lost
CUST100020,37,Male,Delhi,Online,237,5,850.72,At Risk
CUST100021,23,Male,Hyderabad,Online,126,4,5562.7,At Risk
CUST100022,31,Male,Hyderabad,Online,61,6,4462.56,Loyal
CUST100023,42,Male,Chennai,Online,320,2,2242.48,Lost
CUST100024,28,Female,Bengaluru,Online,200,2,687.5,Lost
CUST100025,38,Male,Hyderabad,Store,103,8,1695.0,At Risk
CUST100026,27,Male,Noida,Mobile App,66,18,2212.21,Loyal
CUST100027,41,Female,Mumbai,Mobile App,114,7,2988.69,Potential Loyalists
CUST100028,18,Male,Noida,Store,10,20,12381.29,Champions
CUST100029,33,Male,Delhi,Store,6,20,6547.96,Champions
CUST100030,27,Male,Hyderabad,Online,110,6,2092.69,At Risk
CUST100031,28,Male,Pune,Mobile App,228,9,2443.63,At Risk
CUST100032,40,Female,Bengaluru,Online,341,1,1779.27,Lost
CUST100033,42,Female,Chennai,Online,58,18,2112.5,Loyal
CUST100034,48,Female,Kolkata,Online,12,11,5509.25,Loyal
CUST100035,39,Male,Kolkata,Store,110,5,2841.4,Potential Loyalists
CUST100036,29,Male,Noida,Store,63,12,3209.79,Loyal
CUST100037,43,Male,Mumbai,Store,6,20,4061.23,Champions
CUST100038,26,Female,Noida,Mobile App,32,7,2492.8,Potential Loyalists
CUST100039,41,Female,Pune,Store,19,13,2996.37,Loyal
CUST100040,25,Female,Bengaluru,Mobile App,161,6,4262.78,At Risk
CUST100041,42,Female,Mumbai,Online,37,5,994.11,Potential Loyalists
CUST100042,27,Male,Kolkata,Mobile App,206,2,138.72,Lost
CUST100043,18,Female,Chennai,Mobile App,226,7,2011.59,At Risk
CUST100044,27,Male,Noida,Store,60,14,3485.32,Loyal
CUST100045,46,Female,Chennai,Online,266,3,727.24,Lost
