CustomerID,Recency,Frequency,Monetary,Cluster
CUST100001,140,6,1671.2,2
CUST100002,81,6,2487.02,2
CUST100003,278,4,1415.94,0
CUST100004,100,9,1681.72,4
CUST100005,21,27,10190.05,1
CUST100006,279,3,208.13,0
CUST100007,155,9,1262.89,4
CUST100008,161,7,1545.05,2
CUST100009,29,22,3278.24,1
CUST100010,110,6,634.4,4
CUST100011,47,14,1944.54,3
CUST100012,287,2,1141.53,0
CUST100013,139,5,1184.31,4
CUST100014,317,4,797.49,0
CUST100015,85,3,2985.48,2
CUST100016,41,14,3660.85,3
CUST100017,21,5,1001.6,4
CUST100018,16,24,4560.31,1
CUST100019,304,4,1467.85,0
CUST100020,237,5,850.72,0
CUST100021,126,4,5562.7,2
CUST100022,61,6,4462.56,2
CUST100023,320,2,2242.48,0
CUST100024,200,2,687.5,0
CUST100025,103,8,1695.0,4
CUST100026,66,18,2212.21,3
CUST100027,114,7,2988.69,2
CUST100028,10,20,12381.29,1
CUST100029,6,20,6547.96,1
CUST100030,110,6,2092.69,2
CUST100031,228,9,2443.63,2
CUST100032,341,1,1779.27,0
CUST100033,58,18,2112.5,3
CUST100034,12,11,5509.25,1
CUST100035,110,5,2841.4,2
CUST100036,63,12,3209.79,3
CUST100037,6,20,4061.23,1
CUST100038,32,7,2492.8,3
CUST100039,19,13,2996.37,3
CUST100040,161,6,4262.78,2
CUST100041,37,5,994.11,4
CUST100042,206,2,138.72,0
CUST100043,226,7,2011.59,2
CUST100044,60,14,3485.32,3
CUST100045,266,3,727.24,0
CUST100046,103,6,1747.85,2
CUST100047,39,16,4962.81,3
CUST100048,10,13,1641.54,3
CUST100049,141,6,1075.15,4
CUST100050,20,18,5986.61,1
CUST100051,48,19,1772.01,3
CUST100052,18,23,5335.65,1
CUST100053,161,7,2034.1,2
CUST100054,236,6,1495.79,2
CUST100055,125,5,1331.43,4
CUST100056,115,8,1617.4,4
CUST100057,38,6,787.63,4
CUST100058,24,11,2211.96,3
CUST100059,29,21,3954.31,1
CUST100060,33,29,7221.99,1
CUST100061,116,7,1888.54,2
CUST100062,97,8,2344.04,2
CUST100063,53,9,2157.4,3
CUST100064,163,11,1372.01,4
CUST100065,203,7,710.93,4
CUST100066,54,10,2294.51,3
CUST100067,56,8,1875.97,4
CUST100068,17,15,2779.36,3
CUST100069,12,23,4895.0,1
CUST100070,61,8,2470.75,3
CUST100071,35,13,1839.79,3
CUST100072,90,7,1825.77,2
CUST100073,262,3,986.81,0
CUST100074,40,9,4059.84,3
CUST100075,34,21,8252.88,1
CUST100076,41,12,7835.06,3
CUST100077,55,14,3279.28,3
CUST100078,126,5,1200.53,4
CUST100079,44,6,2037.06,4
CUST100080,124,6,1480.49,4
CUST100081,125,7,1639.91,2
CUST100082,35,9,1670.9,3
CUST100083,144,9,2678.14,2
CUST100084,41,16,1257.01,3
CUST100085,14,25,6052.39,1
CUST100086,18,29,5861.98,1
CUST100087,175,6,3542.72,2
CUST100088,102,3,1536.98,4
CUST100089,47,11,2822.79,3
CUST100090,107,7,1061.14,4
CUST100091,1,27,5953.43,1
CUST100092,115,6,3600.9,2
CUST100093,25,7,1960.42,3
CUST100094,57,13,3287.67,3
CUST100095,24,10,4133.84,3
CUST100096,134,7,830.96,4
CUST100097,54,15,3099.77,3
CUST100098,7,29,2841.7,1
CUST100099,14,22,8213.28,1
CUST100100,363,1,543.63,0
CUST100101,184,3,1409.02,0
CUST100102,106,9,1502.45,4
CUST100103,19,10,4159.55,3
CUST100104,231,2,60.99,0
CUST100105,159,6,2951.14,2
CUST100106,93,5,3250.86,2
CUST100107,38,8,1226.0,4
CUST100108,56,8,6793.79,3
CUST100109,14,19,9511.98,1
CUST100110,364,4,788.77,0
CUST100111,84,9,1285.08,4
CUST100112,14,15,2940.51,3
CUST100113,65,15,4683.45,3
CUST100114,61,12,1042.19,4
CUST100115,18,13,5075.51,1
CUST100116,304,2,519.15,0
CUST100117,118,6,2027.52,2
CUST100118,159,6,1981.98,2
CUST100119,31,4,1588.85,4
CUST100120,104,9,2071.45,2
CUST100121,112,7,2641.42,2
CUST100122,184,9,1494.17,2
CUST100123,26,26,8578.27,1
CUST100124,24,11,1909.26,3
CUST100125,4,28,3343.49,1
CUST100126,47,7,1605.62,4
CUST100127,14,13,4026.09,1
CUST100128,31,19,8077.73,1
CUST100129,5,21,6081.01,1
CUST100130,96,5,1956.92,2
CUST100131,56,13,3664.44,3
CUST100132,302,3,391.36,0
CUST100133,82,14,3468.53,3
CUST100134,12,14,3318.6,1
CUST100135,102,5,1998.58,2
CUST100136,7,18,10082.81,1
CUST100137,226,2,1032.53,0
CUST100138,86,6,5606.26,2
CUST100139,196,6,1766.97,2
CUST100140,22,23,5934.45,1
CUST100141,61,9,3599.9,3
CUST100142,84,5,1251.16,4
CUST100143,280,5,1663.38,2
CUST100144,22,6,3786.9,3
CUST100145,63,6,1448.86,4
CUST100146,36,12,2806.48,3
CUST100147,59,11,1689.92,3
CUST100148,56,5,2260.79,2
CUST100149,56,5,3259.37,2
CUST100150,1,23,5317.33,1
CUST100151,189,3,70.79,0
CUST100152,234,4,786.67,0
CUST100153,5,24,4841.73,1
CUST100154,49,10,1004.48,4
CUST100155,20,23,9795.66,1
CUST100156,103,8,1900.42,2
CUST100157,16,12,1475.34,3
CUST100158,116,6,2747.4,2
CUST100159,161,9,1675.89,2
CUST100160,162,11,874.26,4
CUST100161,30,31,5769.46,1
CUST100162,229,5,484.49,0
CUST100163,55,15,4451.24,3
CUST100164,30,16,11119.05,1
CUST100165,97,11,1504.82,4
CUST100166,31,13,5707.61,3
CUST100167,341,6,622.12,0
CUST100168,175,11,885.35,4
CUST100169,17,6,5419.46,3
CUST100170,274,1,1294.82,0
CUST100171,70,10,1827.64,4
CUST100172,37,8,770.04,4
CUST100173,41,12,2532.5,3
CUST100174,250,6,456.28,0
CUST100175,62,16,7135.17,3
CUST100176,2,23,3264.13,1
CUST100177,105,5,2727.12,2
CUST100178,191,5,576.58,0
CUST100179,220,4,1555.99,2
CUST100180,93,6,2535.53,2
CUST100181,284,4,707.6,0
CUST100182,206,4,327.91,0
CUST100183,26,5,1866.28,4
CUST100184,19,12,2588.24,3
CUST100185,142,11,812.86,4
CUST100186,181,5,1618.91,2
CUST100187,69,10,3908.57,3
CUST100188,27,21,8346.95,1
CUST100189,169,12,3207.74,2
CUST100190,53,12,2160.5,3
CUST100191,305,3,1820.68,0
CUST100192,44,12,1852.86,3
CUST100193,28,25,7524.75,1
CUST100194,351,3,586.85,0
CUST100195,5,24,4794.55,1
CUST100196,23,13,3226.49,3
CUST100197,39,8,2544.32,3
CUST100198,239,1,609.73,0
CUST100199,63,12,1930.4,3
CUST100200,12,13,2354.99,3
CUST100201,206,4,1609.97,2
CUST100202,264,4,828.64,0
CUST100203,22,7,1257.97,4
CUST100204,25,17,4066.08,1
CUST100205,24,18,4908.81,1
CUST100206,67,13,3664.0,3
CUST100207,10,23,4730.97,1
CUST100208,201,5,2645.55,2
CUST100209,13,22,6949.15,1
CUST100210,72,8,1444.45,4
CUST100211,103,7,2000.09,2
CUST100212,83,8,1008.76,4
CUST100213,69,8,1801.77,4
CUST100214,225,5,2743.56,2
CUST100215,120,9,3617.74,2
CUST100216,184,10,904.98,4
CUST100217,5,31,3296.04,1
CUST100218,25,21,1927.34,3
CUST100219,184,4,715.61,0
CUST100220,53,20,2805.36,3
CUST100221,71,9,1977.27,4
CUST100222,77,5,2665.58,2
CUST100223,181,6,1286.69,4
CUST100224,268,4,545.1,0
CUST100225,40,20,5683.2,1
CUST100226,242,3,554.89,0
CUST100227,11,27,3598.62,1
CUST100228,23,7,2327.32,3
CUST100229,93,8,7402.03,2
CUST100230,13,25,3309.76,1
CUST100231,1,17,6316.65,1
CUST100232,89,10,2100.22,2
CUST100233,335,3,807.85,0
CUST100234,114,3,3123.7,2
CUST100235,259,3,642.09,0
CUST100236,158,9,1021.29,4
CUST100237,116,8,2646.72,2
CUST100238,180,11,4561.32,2
CUST100239,20,17,2199.85,3
CUST100240,11,28,7594.99,1
CUST100241,350,3,448.82,0
CUST100242,137,7,945.06,4
CUST100243,65,8,3389.1,3
CUST100244,65,5,1310.39,4
CUST100245,65,4,1468.1,4
CUST100246,246,5,1885.74,2
CUST100247,35,9,1567.16,3
CUST100248,27,4,2425.59,3
