Date,Sales,Orders,Customers,Month,Year,Quarter
2021-01-01,76991.14,100,80,January,2021,Q1
2021-02-01,77769.1,100,82,February,2021,Q1
2021-03-01,100273.93,100,80,March,2021,Q1
2021-04-01,109385.25,100,80,April,2021,Q2
2021-05-01,102648.08,100,80,May,2021,Q2
2021-06-01,111651.25,100,82,June,2021,Q2
2021-07-01,104363.87,100,80,July,2021,Q3
2021-08-01,100876.89,100,86,August,2021,Q3
2021-09-01,120245.48,100,80,September,2021,Q3
2021-10-01,118106.07,100,80,October,2021,Q4
2021-11-01,133983.42,100,84,November,2021,Q4
2021-12-01,151646.71,109,80,December,2021,Q4
2022-01-01,96230.46,100,80,January,2022,Q1
2022-02-01,107664.58,100,80,February,2022,Q1
2022-03-01,114804.16,100,85,March,2022,Q1
2022-04-01,118612.34,100,80,April,2022,Q2
2022-05-01,122365.22,100,80,May,2022,Q2
2022-06-01,126650.74,100,82,June,2022,Q2
2022-07-01,131321.14,100,87,July,2022,Q3
2022-08-01,119580.25,100,80,August,2022,Q3
2022-09-01,134253.68,100,80,September,2022,Q3
2022-10-01,134298.1,100,80,October,2022,Q4
2022-11-01,162743.11,125,87,November,2022,Q4
2022-12-01,175817.2,111,80,December,2022,Q4
2023-01-01,107040.63,100,80,January,2023,Q1
2023-02-01,115254.71,100,80,February,2023,Q1
2023-03-01,126758.73,100,80,March,2023,Q1
2023-04-01,135974.33,100,80,April,2023,Q2
2023-05-01,146166.59,100,80,May,2023,Q2
2023-06-01,152818.65,100,80,June,2023,Q2
2023-07-01,154043.42,100,83,July,2023,Q3
2023-08-01,135885.97,100,81,August,2023,Q3
2023-09-01,144192.84,106,86,September,2023,Q3
2023-10-01,156487.62,104,80,October,2023,Q4
2023-11-01,171570.74,111,80,November,2023,Q4
2023-12-01,197240.42,111,95,December,2023,Q4
2024-01-01,122536.81,100,80,January,2024,Q1
2024-02-01,116987.72,100,80,February,2024,Q1
2024-03-01,142683.17,100,80,March,2024,Q1
2024-04-01,147428.3,104,83,April,2024,Q2
2024-05-01,158889.03,110,95,May,2024,Q2
2024-06-01,177191.33,121,86,June,2024,Q2
2024-07-01,151018.99,100,86,July,2024,Q3
2024-08-01,161045.47,110,80,August,2024,Q3
2024-09-01,161023.66,100,80,September,2024,Q3
2024-10-01,178965.53,124,98,October,2024,Q4
2024-11-01,198708.56,119,80,November,2024,Q4
2024-12-01,224027.86,140,95,December,2024,Q4
2025-01-01,156215.23,102,80,January,2025,Q1
2025-02-01,130280.66,100,87,February,2025,Q1
2025-03-01,163882.68,111,87,March,2025,Q1
2025-04-01,171940.54,107,92,April,2025,Q2
2025-05-01,164722.73,110,91,May,2025,Q2
2025-06-01,171989.92,122,92,June,2025,Q2
2025-07-01,171655.18,122,101,July,2025,Q3
2025-08-01,164690.63,104,80,August,2025,Q3
2025-09-01,184997.37,106,80,September,2025,Q3
2025-10-01,205011.56,130,109,October,2025,Q4
2025-11-01,229580.62,149,124,November,2025,Q4
2025-12-01,251181.76,158,111,December,2025,Q4
