Date,ActualSales,ForecastSales,AbsoluteError
2025-01-01,156215.23,135495.0476462644,20720.18235373561
2025-02-01,130280.66,139512.03731365473,9231.377313654724
2025-03-01,163882.68,161291.2830278156,2591.3969721843896
2025-04-01,171940.54,169478.59804232212,2461.941957677889
2025-05-01,164722.73,176437.2236409179,11714.493640917877
2025-06-01,171989.92,189043.71457760708,17053.79457760707
2025-07-01,171655.18,178407.2132514134,6752.033251413406
2025-08-01,164690.63,171144.2924694943,6453.662469494302
2025-09-01,184997.37,183072.03800349456,1925.3319965054397
2025-10-01,205011.56,193165.70090058754,11845.859099412453
2025-11-01,229580.62,218095.35620184534,11485.263798154658
2025-12-01,251181.76,244486.7983350403,6694.961664959701
