Property_ID,Locality,BHK,Area_sqft,Rate_per_sqft,Price,Property_Age,RERA
PROP0001,Sushant Lok,1,1219,21418,26108542,14,No
PROP0002,DLF Phase 1,4,2416,18024,43545984,10,Yes
PROP0003,Sector 56,5,2645,15453,40873185,13,Yes
PROP0004,Sushant Lok,3,1653,23689,39157917,8,No
PROP0005,Sector 50,4,2249,13945,31362305,7,No
PROP0006,Sushant Lok,3,1835,22435,41168225,6,Yes
PROP0007,New Gurgaon,3,2075,20981,43535575,17,No
PROP0008,Golf Course Road,3,1858,18173,33765434,16,Yes
PROP0009,Sector 56,6,3003,17353,52111059,9,Yes
PROP0010,New Gurgaon,5,2804,23379,65554716,11,Yes
PROP0011,Sector 45,5,2678,12731,34093618,6,Yes
PROP0012,Golf Course Road,6,2743,21506,58990958,4,Yes
PROP0013,Sector 45,3,1864,13790,25704560,5,Yes
PROP0014,Sohna Road,4,2239,21527,48198953,17,Yes
PROP0015,DLF Phase 2,5,2656,19778,52530368,12,Yes
PROP0016,Golf Course Road,5,2269,20356,46187764,16,Yes
PROP0017,New Gurgaon,3,1841,21500,39581500,14,No
PROP0018,Sector 50,3,1757,13067,22958719,15,Yes
PROP0019,New Gurgaon,3,2132,21297,45405204,1,Yes
PROP0020,Sohna Road,3,2025,20337,41182425,3,No
PROP0021,Sohna Road,2,1801,18184,32749384,14,Yes
PROP0022,DLF Phase 1,5,2589,16706,43251834,20,Yes
PROP0023,Sector 56,3,2066,15135,31268910,18,No
PROP0024,Sector 42,4,2487,11549,28722363,7,Yes
PROP0025,Sector 45,1,1512,10113,15290856,3,Yes
PROP0026,Sector 50,4,2452,15442,37863784,6,Yes
PROP0027,Sector 50,2,1641,13641,22384881,3,Yes
PROP0028,Sohna Road,5,2652,19725,52310700,13,No
PROP0029,New Gurgaon,2,1526,20514,31304364,20,Yes
PROP0030,Sector 56,3,1801,15533,27974933,20,Yes
PROP0031,Sector 45,4,2397,11317,27126849,11,Yes
PROP0032,DLF Phase 2,3,1964,16194,31805016,9,No
PROP0033,DLF Phase 1,3,1809,16263,29419767,14,Yes
PROP0034,DLF Phase 2,4,2105,18418,38769890,15,No
PROP0035,Sector 45,4,2239,11334,25376826,12,Yes
PROP0036,Sushant Lok,6,2987,24538,73295006,9,Yes
PROP0037,Sushant Lok,3,1820,24276,44182320,19,Yes
PROP0038,DLF Phase 1,4,2308,17856,41211648,17,Yes
PROP0039,Sector 56,3,2118,15468,32761224,18,No
PROP0040,Sushant Lok,1,1355,23250,31503750,18,Yes
PROP0041,New Gurgaon,5,2365,22227,52566855,10,Yes
PROP0042,Sushant Lok,1,922,20610,19002420,12,Yes
PROP0043,Sushant Lok,4,2312,23005,53187560,11,Yes
